,Wine_Type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0,Red,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5.0
1,Red,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5.0
2,Red,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5.0
3,Red,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6.0
4,Red,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5.0
5,Red,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5.0
6,Red,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5.0
7,Red,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7.0
8,Red,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7.0
9,Red,7.5,0.5,0.36,,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5.0
10,Red,6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5.0
11,Red,7.5,0.5,0.36,,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5.0
12,Red,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5.0
13,Red,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,,9.1,5.0
14,Red,8.9,0.62,0.18,,,,,0.9986,3.16,0.88,9.2,5.0
15,Red,8.9,0.62,0.19,,,,,0.9986,3.17,0.93,9.2,5.0
16,Red,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7.0
17,Red,8.1,0.56,0.28,1.7,,16.0,56.0,0.9968,3.11,,9.3,5.0
18,Red,7.4,0.59,0.08,,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4.0
19,Red,7.9,0.32,0.51,1.8,,17.0,56.0,0.9969,3.04,,9.2,6.0
20,Red,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6.0
21,Red,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5.0
22,Red,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5.0
23,Red,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5.0
24,Red,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6.0
25,Red,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5.0
26,Red,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5.0
27,Red,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5.0
28,Red,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5.0
29,Red,7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6.0
30,Red,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5.0
31,Red,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6.0
32,Red,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5.0
33,Red,6.9,0.605,0.12,,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6.0
34,Red,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5.0
35,Red,7.8,0.645,0.0,,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6.0
36,Red,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6.0
37,Red,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7.0
38,Red,5.7,,0.09,1.5,,7.0,19.0,0.994,3.5,0.48,9.8,4.0
39,Red,7.3,0.45,0.36,,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5.0
40,Red,7.3,0.45,0.36,,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5.0
41,Red,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4.0
42,Red,7.5,0.49,0.2,2.6,,8.0,14.0,0.9968,3.21,0.9,10.5,6.0
43,Red,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,,10.3,5.0
44,Red,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5.0
45,Red,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,,0.56,13.1,4.0
46,Red,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5.0
47,Red,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5.0
48,Red,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5.0
49,Red,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5.0
50,Red,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5.0
51,Red,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6.0
52,Red,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6.0
53,Red,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5.0
54,Red,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6.0
55,Red,7.7,0.62,0.04,,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5.0
56,Red,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5.0
57,Red,7.5,0.63,0.12,,0.111,,110.0,0.9983,3.26,0.77,9.4,5.0
58,Red,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5.0
59,Red,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6.0
60,Red,8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5.0
61,Red,7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5.0
62,Red,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7.0
63,Red,7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5.0
64,Red,7.2,0.725,0.05,,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5.0
65,Red,7.2,0.725,0.05,,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5.0
66,Red,7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5.0
67,Red,6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5.0
68,Red,9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5.0
69,Red,8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6.0
70,Red,7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6.0
71,Red,7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5.0
72,Red,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5.0
